Date;Store;Time;Location;Notes
01-nov Lørdag,,,,prerelease Secrets of power
02-nov Søndag,,,,prerelease Secrets of power
08-nov Lørdag,,,,release Secrets of power
09-nov Søndag,,,,release Secrets of power
15-nov Lørdag,,,,
16-nov Søndag,,,,
22-nov Lørdag,,,,
23-nov Søndag,,,,
29-nov Lørdag,,,,
30-nov Søndag,,,,
06-dec Lørdag,,,,
07-dec Søndag,,,,
13-dec Lørdag,,,,
14-dec Søndag,,,,
20-dec Lørdag,,,,
21-dec Søndag,,,,
27-dec Lørdag,,,,
28-dec Søndag,,,,
03-jan Lørdag,,,,
04-jan Søndag,,,,
10-jan Lørdag,,,,
11-jan Søndag,,,,
17-jan Lørdag,,,,
18-jan Søndag,,,,
24-jan Lørdag,,,,
25-jan Søndag,,,,
31-jan Lørdag,,,,
01-feb Søndag,,,,der afholdes PQ i Games'N'Gadgets https://www.facebook.com/events/1461419851752040/?acontext=%7B%22event_action_history%22%3A[%7B%22surface%22%3A%22search%22%7D%2C%7B%22mechanism%22%3A%22attachment%22%2C%22surface%22%3A%22newsfeed%22%7D]%2C%22ref_notif_type%22%3Anull%7D
07-feb Lørdag,,,,
08-feb Søndag,,,,
14-feb Lørdag,,,,
15-feb Søndag,,,,
21-feb Lørdag,,,,
22-feb Søndag,,,,
28-feb Lørdag,,,,
01-mar Søndag,,,,
