Secrets of Power Prerelease,roskilde,30-10-2025 17:00,Kelz0r,https://www.facebook.com/events/1064158475615450
Secrets of Power Prerelease,horsens,31-10-2025 18:15,Games'n'gadgets,https://www.facebook.com/events/717053897319969
Secrets of Power Prerelease,Taastrup,31-10-2025 18:00,ZZ games
Secrets of Power Prerelease,Nykøbing F,01-11-2025 10:00,Er-games,https://www.facebook.com/events/702294035608616
Secrets of Power Prerelease,Ikast,01-11-2025 10:30,Next-level Games,https://www.facebook.com/events/1123195099402776
Secrets of Power Prerelease,Århus,01-11-2025 12:00,Epic Panda,https://melee.gg/Tournament/View/374688
Secrets of Power Prerelease,Lyngby,01-11-2025 10:30,Faraos Lyngby,https://melee.gg/Tournament/View/374688
Secrets of Power Prerelease,København K,03-11-2025 18:30,Faraos skindergade
Secrets of Power Prerelease,Billund,06-11-2025 17:00,Nostalgic,https://melee.gg/Tournament/View/370226?fbclid=IwY2xjawNkFn1leHRuA2FlbQIxMABicmlkETBwa2xVcjRWRmw4akx4b2xZAR6gm6jz9UwYGGhFcH_ocBK7f79RfVdMBfk50uv_W12s2clsyyPNYeU_stpQcw_aem_c3rN8xj3WIY1PEF5Y6hAbw
Secrets of Power Prerelease,Randers,05-11-2025 18:00, wobbly nerdles, https://www.facebook.com/events/683843610911885
Secrets of Power Prerelease,Ballerup,afholder ikke prerelease,Slice'N'Dice
